ID_ViThuoc,TenVietNam,TenGoiKhac,TenKhoaHoc,HoThucVat,CongDung,LieuDung,TinhVi,QuyKinh
87,Lân tơ uyn,"kinh giới núi, hoắc hương núi",Clinopodium polycephalum (Vaniot) C.Y.Wu,Lamiaceae (Hoa môi),"Chữa cảm sốt, nhức đầu, đau bụng, ăn không tiêu, mụn nhọt, lở ngứa.",6-12g/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
88,Lu lu đực,"thù lù, lồng đèn, tầm bóp",Solanum nigrum L.,Solanaceae (Cà),"Thanh nhiệt, giải độc, lợi tiểu, tiêu viêm. Chữa cảm sốt, viêm họng, viêm gan, xơ gan cổ trướng, mụn nhọt.",15-30g/ngày (sắc). Dùng ngoài giã đắp.,"Vị đắng, tính hàn, có ít độc.",(Không ghi rõ)
89,Mật quỹ,"rau tàu bay, kim thất",Gynura crepidioides Benth.,Asteraceae (Cúc),"Chữa sốt, lở ngứa, mụn nhọt.",10-15g/ngày (sắc).,(Không ghi rõ),(Không ghi rõ)
90,Muồng truồng,(Không có),Cassia nuda H.Bn,Caesalpiniaceae (Vang),"Chữa hắc lào, lở ngứa, mụn nhọt.","Dùng ngoài: lá tươi giã nát, thêm muối, xát vào.",(Không ghi rõ),(Không ghi rõ)
91,Rong mơ,"hải tảo, rau mơ",Sargassum sp.,Sargassaceae (Rong mơ),"Chữa bướu cổ, tràng nhạc, lợi tiểu.",6-12g/ngày (sắc).,"Vị đắng, mặn, tính hàn.","Can, Vị, Thận."
92,Sần thuyền,(Không có),Ilex rotunda Thunb.,Aquifoliaceae (Nhựa ruồi),"Chữa bỏng, lở loét, mụn nhọt.","Dùng ngoài: Vỏ cây đốt thành than, tán nhỏ, trộn dầu vừng bôi.","Vị đắng, tính hàn.",(Không ghi rõ)
93,Thóc lép,(Không có),Desmodium heterophyllum DC.,Papilionaceae (Cánh bướm),"Chữa mụn nhọt, lở ngứa.","Toàn cây giã nát, thêm nước, vắt lấy nước cốt bôi.",(Không ghi rõ),(Không ghi rõ)
94,Tỏi đỏ,"sâm đại hành, hành đỏ, tỏi Lào",Eleutherine bulbosa (Mill.) Urb,Iridaceae (La dơn),"Bổ máu, cầm máu, an thần. Chữa thiếu máu, vàng da, nhức đầu, mệt mỏi, ho ra máu, chảy máu cam.",4-12g/ngày (sắc).,"Vị ngọt nhạt, tính mát.",(Không ghi rõ)
95,Tùng hương,nhựa thông,Pinus sp.,Pinaceae (Thông),"Sát trùng, chữa mụn nhọt, ghẻ lở.",Dùng ngoài chế cao dán nhọt.,"Vị đắng, tính ôn.","Can, Tỳ."
96,Vạn niên thanh,(Không có),Aglaonema sp.,Araceae (Ráy),"Chữa rắn cắn, mụn nhọt, lở loét.","Dùng ngoài, không kể liều.","Vị đắng, tính hàn, có độc.",(Không ghi rõ)
97,Táo rừng,"táo gai, nụ áo, hàm chuột",Ziziphus oenoplia Mill,Rhamnaceae (Táo ta),"Chữa mụn nhọt, lở ngứa.",15-30g rễ hoặc vỏ thân/ngày (sắc).,"Vị chua, chát, tính bình.",(Không ghi rõ)
98,Sảng,"trôm, sang sé, che van (Tày)",Sterculia lanceolata Cav.,Sterculiaceae (Trôm),"Chữa mụn nhọt, lở ngứa, ghẻ.",Dùng ngoài: lá tươi giã đắp hoặc nấu nước tắm.,(Không ghi rõ),(Không ghi rõ)
99,Hàn the,"bồn sa, bàng sa, nguyệt thạch",Borax,(Khoáng vật),"Sát trùng. Chữa sưng họng, loét miệng, lở lưỡi.",1-2g/ngày. Dùng ngoài.,"Vị ngọt, mặn, tính mát.","Phế, Vị."
100,Cà chua,(Không có),Lycopersicum esculentum Mill.,Solanaceae (Cà),"Chữa mụn nhọt, lở loét, bỏng.",Dùng ngoài: quả giã nát đắp.,"Vị ngọt, chua, tính mát.",(Không ghi rõ)
101,Cây dầu giun,"cây rau muối, cỏ muối, bit-ton",Chenopodium ambrosioides L.,Chenopodiaceae (Rau muối),"Trị giun đũa, giun móc, giun kim.",Hạt: 10-20g. Dầu: 1ml (người lớn) .,(Không ghi rõ),(Không ghi rõ)
102,Sử quân tử,"quả nấc, quả giun, dây giun",Quisqualis indica L.,Combretaceae (Bàng),"Chữa giun đũa, giun kim. Chữa chứng cam tích ở trẻ em.","3-5 quả (hạt)/ngày (trẻ em), 10 quả/ngày (người lớn).","Vị ngọt, tính ôn.","Tỳ, Vị."
103,Cây keo dậu,"bồ kết dại, bọ chét, bình linh",Leucaena leucocephala (Lamk.) de Wit,Mimosaceae (Trinh nữ),Trị giun đũa.,"25-50g hạt/ngày (người lớn), 10g (trẻ em).",(Không ghi rõ),(Không ghi rõ)
104,Cây bách bộ,"dây ba mươi, củ ba mươi",Stemona tuberosa Lour.,Stemonaceae (Bách bộ),"Chữa ho lâu ngày, ho lao. Trị giun kim. Diệt chấy, rận, bọ chét.",6-12g/ngày (sắc trị ho).,"Vị ngọt, đắng, tính hơi ôn.",Phế.
105,Xoan,"xoan nhà, sầu đâu, khổ luyện",Melia azedarach L.,Meliaceae (Xoan),"Trị giun đũa, giun kim. Chữa chốc đầu, lở ngứa.",4-12g vỏ rễ/ngày (sắc).,"Vị đắng, tính hàn, có độc.","Can, Vị."
106,Cây thùn mũn,"vư vi, toan tương tử",Embelia ribes Burm.f.,Myrsinaceae (Đơn nem),"Trị sán, giun đũa, giun kim.",3-6g quả/ngày (dạng bột).,"Vị cay, tính ôn.",(Không ghi rõ)
107,Hạt bí ngô,nam qua tử,Cucurbita sp.,Cucurbitaceae (Bí),Trị sán.,30-100g hạt/ngày.,"Vị ngọt, tính ôn.","Tỳ, Vị."
108,Cây chân bầu,"sakè, sakae, trâm bầu",Combretum quadrangulare Kurz,Combretaceae (Bàng),"Trị giun đũa, giun kim.",3-5g hạt/ngày (thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
109,Cây thạch lựu,lựu,Punica granatum L.,Punicaceae (Lựu),"Trị sán (dùng vỏ rễ, vỏ thân, vỏ cành).",15-60g vỏ tươi/ngày (sắc).,"Vị chát, đắng, tính ôn.",(Không ghi rõ)
110,Cây cau (Hạt),"binh lang, tân lang",Areca catechu L.,Palmae (Cau),"Trị sán, giun đũa, giun kim. Giúp tiêu hóa, chữa viêm ruột, lỵ.",4-6g/ngày (trị giun sán).,"Vị cay, đắng, tính ôn.","Vị, Đại tràng."
111,Cây rùm nao,(Không có),Ormosia anomala Prain,Papilionaceae (Cánh bướm),Trị giun.,5-7 hạt/ngày (sao vàng tán nhỏ).,(Không ghi rõ),(Không ghi rõ)
112,Quán chúng,(Không có),Cyrtomium fortunei J.Sm,Polypodiaceae (Dương xỉ),"Trị sán, giun kim, giun móc. Chữa băng huyết, rong kinh.",4-10g/ngày (sắc).,"Vị đắng, tính hơi hàn.","Can, Tỳ."
113,Mặc nưa,(Không có),Diospyros mollis Griff,Ebenaceae (Thị),"Trị giun kim, giun đũa. Dùng nhuộm vải lụa thành màu đen .",2-3g bột quả/ngày.,(Không ghi rõ),(Không ghi rõ)
114,Cây sầu đâu rừng,"cây khổ sâm, nha đạm tử",Brucea javanica (L.) Merr.,Simaroubaceae (Thanh thất),"Chữa lỵ amip, sốt rét, giun.",10-15 hạt/ngày (người lớn).,"Vị đắng, tính hàn, có ít độc.",Đại tràng.
115,Tỏi,đại toán,Allium sativum L.,Alliaceae (Hành),"Chữa lỵ amip, lỵ trực trùng. Giúp tiêu hóa, chữa cao huyết áp, ho, tả, cảm cúm.",5-15g/ngày.,"Vị cay, tính ôn.","Tỳ, Vị, Phế."
116,Mộc hoa trắng,"cây sừng trâu, mức hoa trắng",Holarrhena antidysenterica (L.) Wall.,Apocynaceae (Trúc đào),Chữa lỵ amip.,Hạt: 10-15g/ngày. Vỏ: 4-6g/ngày.,(Không ghi rõ),(Không ghi rõ)
117,Rau sam,mã xỉ hiện,Portulaca oleracea L.,Portulacaceae (Rau sam),"Chữa lỵ trực trùng. Dùng ngoài chữa mụn nhọt, lở loét.",30-100g tươi/ngày (sắc).,"Vị chua, tính hàn, không độc.","Tâm, Can, Tỳ, Đại tràng."
118,Mơ tam thể,"mơ tròn, dây mơ, dây thối địt",Paederia foetida L.,Rubiaceae (Cà phê),"Chữa lỵ trực trùng, giun kim, giun đũa. Giúp tiêu hóa.",15-20 lá/ngày.,"Vị hơi đắng, tính mát.",(Không ghi rõ)
119,Cây chè (Lá),trà,Thea sinensis L.,Theaceae (Chè),"Chữa lỵ trực trùng. Kích thích thần kinh, lợi tiểu, giúp tiêu hóa.",10-20g lá/ngày (sắc đặc).,"Vị đắng, chát, tính mát.","Tâm, Can, Tỳ, Phế, Thận."
120,Vỏ lựu,thạch lựu bì,Punica granatum L.,Punicaceae (Lựu),"Chữa lỵ trực trùng, lỵ amip.",15-20g/ngày (sắc).,"Vị chua, chát, tính ôn.",Đại tràng.
121,Hoàng liên,(Không có),Coptis teeta Wall.,Ranunculaceae (Mao Lương),"Chữa lỵ trực trùng, lỵ amip, đau mắt, viêm ruột, viêm dạ dày, mụn nhọt.",0.5-2g/ngày (sắc).,"Vị đắng, tính hàn.","Tâm, Can, Vị, Đại tràng."
122,Hoàng liên gai,(Không có),Berberis wallichiana DC.,Berberidaceae (Hoàng liên gai),"Chữa lỵ, tiêu chảy, vàng da.",4-12g/ngày (sắc).,(Tương tự Hoàng liên).,(Tương tự Hoàng liên).
123,Hoàng liên ô rô,(Không có),Mahonia bealei Carr.,Berberidaceae (Hoàng liên gai),"Thanh nhiệt, giải độc. Chữa lỵ, đau mắt.",4-12g/ngày (sắc).,(Tương tự Hoàng liên).,(Tương tự Hoàng liên).
124,Hoàng đằng,(Không có),Fibraurea tinctoria Lour.,Menispermaceae (Tiết dê),"Chữa lỵ, viêm ruột, đau mắt, sốt.",4-6g/ngày (sắc).,"Vị đắng, tính hàn.","Tâm, Can."
125,Hoàng đằng chân vịt,(Không có),Tinospora capillipes Gagnep,Menispermaceae (Tiết dê),"Chữa lỵ, viêm ruột, đau mắt, sốt (tương tự Hoàng đằng).",4-6g/ngày (sắc).,(Tương tự Hoàng đằng).,(Tương tự Hoàng đằng).
126,Vàng đằng,(Không có),Coscinium usitatum Pierre,Menispermaceae (Tiết dê),"Chữa lỵ, viêm ruột, đau mắt, sốt (tương tự Hoàng đằng).",4-6g/ngày (sắc).,(Tương tự Hoàng đằng).,(Tương tự Hoàng đằng).
127,Thổ hoàng liên,(Không có),Thalictrum foliolosum DC.,Ranunculaceae (Mao Lương),"Chữa lỵ, đau mắt.",1-4g/ngày (sắc).,(Tương tự Hoàng liên).,(Tương tự Hoàng liên).
128,Hoàng đằng loong trơn,(Không có),Arcangelisia sp.,Menispermaceae (Tiết dê),"Tương tự Hoàng đằng (chữa lỵ, viêm ruột, đau mắt, sốt).",Tương tự Hoàng đằng (4-6g/ngày).,(Tương tự Hoàng đằng).,(Tương tự Hoàng đằng).
129,Hoàng bá,(Không có),Phellodendron amurense Rupr.,Rutaceae (Cam),"Chữa lỵ, tiêu chảy, vàng da, mộng tinh, đái ra huyết, lở ngứa.",4-12g/ngày (dạng thuốc sắc).,"Vị đắng, tính hàn.","Thận, Bàng quang."
130,Cỏ sữa nhỏ lá,"vú sữa đất, cẩm địa",Euphorbia thymifolia L.,Euphorbiaceae (Thầu dầu),"Chữa lỵ trực trùng, lỵ amip.",50-100g tươi hoặc 10-20g khô/ngày (sắc).,"Vị chua, tính hàn.",(Không ghi rõ)
131,Ba chẽ,"vẩy rồng, tràng quả ba cạnh",Desmodium triquetrum (L.) DC.,Papilionaceae (Cánh bướm),"Chữa lỵ, rắn cắn.",10-20g/ngày (dạng thuốc sắc).,"Vị ngọt, nhạt, tính mát.",(Không ghi rõ)
132,Bàng (Lá và búp non),(Không có),Terminalia catappa L.,Combretaceae (Bàng),"Chữa lỵ, tiêu chảy, sâu quảng, mụn nhọt.",6-12g/ngày (dạng thuốc sắc).,Vị chát.,(Không ghi rõ)
133,Cẩm xà lặc,(Không có),Salacia prinoides DC.,Celastraceae (Dây gối),Chữa lỵ.,10-15g rễ/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
134,Điều nhuộm,"cây cà ri, chàm ngung",Bixa orellana L.,Bixaceae (Điều nhuộm),"Chữa lỵ, sốt.",6-12g lá/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
135,Đơn đỏ,"đơn mặt trời, liễu đỏ",Excoecaria cochinchinensis Lour.,Euphorbiaceae (Thầu dầu),"Chữa lỵ, đi tả lâu ngày, mẩn ngứa.",6-12g lá khô/ngày (dạng thuốc sắc).,"Vị đắng, ngọt, tính mát.",(Không ghi rõ)
136,Đơn trăng (Hé mọ),(Không có),Psychotria reevesii Wall,Rubiaceae (Cà phê),"Chữa lỵ, sốt, đau bụng.",10-15g/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
137,Mộc nhĩ,"nấm mèo, nấm tai mèo",Auricularia auricula-judae (L.) Schroet.,Auriculariaceae (Mộc nhĩ),"Chữa lỵ, trĩ.","6-12g/ngày (sao đen, sắc).","Vị ngọt, tính bình.",Đại tràng.
138,Phượng nhỡn thảo,(Không có),Dryopteris fortunei J.Sm,Polypodiaceae (Dương xỉ),"Chữa lỵ, giun sán.",6-12g/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
139,San sư cô,(Không có),Knoxia corymbosa Willd,Rubiaceae (Cà phê),"Chữa lỵ, đau bụng.",10-15g/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
140,Seo gà,mào gà trắng,Celosia argentea L.,Amaranthaceae (Giền),"Chữa lỵ ra máu, xích bạch đới, rong kinh.",6-12g hạt/ngày (dạng thuốc sắc).,"Vị đắng, tính hàn.","Đại tràng, Can."
141,Vọng cách,"cách, lá cách",Premna integrifolia L.,Verbenaceae (Cỏ roi ngựa),"Chữa lỵ, giúp tiêu hóa.",10-15g rễ hoặc lá/ngày (sắc).,"Vị hơi đắng, tính mát.",(Không ghi rõ)
142,Đậu rựa,(Không có),Canavalia ensiformis DC.,Papilionaceae (Cánh bướm),Chữa lỵ.,15-30g hạt/ngày (dạng thuốc sắc).,(Không ghi rõ),(Không ghi rõ)
143,Gừng dại,"gừng gió, ngải xanh",Zingiber cassumunar Roxb.,Zingiberaceae (Gừng),"Chữa lỵ, đau bụng.",4-8g/ngày (dạng thuốc sắc).,"Vị đắng, cay, tính ấm.",(Không ghi rõ)
144,Săng lẻ,bằng lăng lông,Lagerstroemia tomentosa Presl.,Lythraceae (Tử vi),Chữa lỵ.,15-25g vỏ thân/ngày (sắc).,(Không ghi rõ),(Không ghi rõ)
145,Mã đề,"xa tiền, bông lá đề",Plantago major L.,Plantaginaceae (Mã đề),"Thông tiểu tiện, chữa ho, tiêu đờm, lỵ, đau mắt đỏ .",6-12g/ngày (dạng thuốc sắc).,"Vị ngọt, tính hàn.","Can, Thận, Bàng quang."
146,Cây trạch tả,mã đề nước,Alisma plantago-aquatica L.,Alismataceae (Trạch tả),"Thông tiểu tiện, chữa thủy thũng, viêm thận, đái dắt, đi tả, đái ra mỡ .",6-9g/ngày (dạng thuốc sắc).,"Vị ngọt, tính hàn.","Thận, Bàng quang."
147,Đại phúc bì,"vỏ quả cau, phúc bì",Areca catechu L.,Palmae (Cau),"Thông tiểu tiện, chữa thủy thũng, bụng đầy trướng .",6-9g/ngày (dạng thuốc sắc).,"Vị cay, tính hơi ôn.","Tỳ, Vị."
148,Cỏ chỉ,"cỏ gà, hoàng nha căn",Cynodon dactylon (L.) Pers.,Poaceae (Lúa),"Thông tiểu tiện, chữa sốt, sốt rét .",20-40g thân rễ/ngày.,(Không ghi rõ),(Không ghi rõ)
149,Cỏ tranh (Thân rễ),bạch mao căn,Imperata cylindrica (L.) P.Beauv.,Poaceae (Lúa),"Thông tiểu, chữa sốt, chảy máu cam, tiểu ra máu, lỵ .",10-40g/ngày.,"Vị ngọt, tính hàn.","Tâm, Tỳ, Vị."
150,Cây râu mèo,(Không có),Orthosiphon aristatus (Blume) Miq.,Lamiaceae (Hoa môi),"Thông tiểu, chữa sỏi thận, sỏi bàng quang .",5-12g/ngày (dạng hãm).,(Không ghi rõ),(Không ghi rõ)
151,Râu ngô,(Không có),Zea mays L.,Poaceae (Lúa),"Thông tiểu, thông mật. Chữa sỏi thận, sỏi mật, viêm túi mật, vàng da, huyết áp cao .",10-20g/ngày.,"Vị ngọt, tính bình.","Thận, Bàng quang."
152,Cây áctisô,(Không có),Cynara scolymus L.,Asteraceae (Cúc),"Thông mật, lợi tiểu, hạ cholesterol máu. Chữa bệnh gan, thận .",Lá tươi: 10-20g/ngày. Lá khô: 5-10g/ngày.,"Vị đắng, tính mát.","Can, Đởm."
153,Phục linh,(Không có),Poria cocos (Schw.) Wolf,Polyporaceae (Lỗ),"Lợi tiểu, chữa thủy thũng, an thần .",5-10g/ngày.,"Vị ngọt, nhạt, tính bình.","Tâm, Phế, Thận, Tỳ, Vị."
154,Bấc đèn,đăng tâm thảo,Juncus effusus L.,Juncaceae (Bấc),"Lợi tiểu, thanh tâm, giáng hỏa. Chữa mất ngủ, thủy thũng .",1-2g/ngày.,"Vị ngọt, tính hàn.","Tâm, Phế, Tiểu tràng."
155,Cây thông thảo,(Không có),Tetrapanax papyriferus (Hook.) K. Koch,Araliaceae (Nhân sâm),"Lợi tiểu, thông sữa .",3-4g/ngày.,"Vị ngọt, nhạt, tính hàn.","Phế, Vị."
156,Dành dành,"chi tử, mác lạng san",Gardenia jasminoides Ellis,Rubiaceae (Cà phê),"Lợi tiểu, thanh nhiệt, chữa sốt, vàng da, đau mắt đỏ, chảy máu cam .",6-12g/ngày.,"Vị đắng, tính hàn.","Tâm, Phế, Tam tiêu."
157,Nghệ,"uất kim, khương hoàng",Curcuma longa L.,Zingiberaceae (Gừng),"Lợi mật, chữa viêm gan, vàng da. Chữa đau dạ dày, kinh nguyệt không đều .",2-6g/ngày.,"Vị cay, đắng, tính ôn.","Can, Tỳ, Tâm."
158,Mật động vật - Đởm,(Không có),(Nguồn gốc động vật),(Nguồn gốc động vật),"Giúp tiêu hóa, chữa đau mắt, viêm họng .",(Tùy loại).,"Vị đắng, tính hàn.","Can, Đởm, Vị."
159,Mật lợn,trư đởm,Sus scrofa domesticus L.,(Nguồn gốc động vật),"Chữa ho gà, hen suyễn, đau mắt, táo bón .",1-2g/ngày (mật khô).,"Vị đắng, mùi tanh, tính lạnh.","Can, Đởm, Phế, Vị."
160,Mật bò,ngưu đởm,Bos taurus L.,(Nguồn gốc động vật),"Chữa táo bón, ho có đờm, co giật .",(Tùy loại).,(Tương tự mật lợn).,(Tương tự mật lợn).
161,Bòn bọt,"co bét bo, phèn đen",Glochidion eriocarpum Champ,Euphorbiaceae (Thầu dầu),"Chữa lỵ, tiêu chảy, viêm ruột, rắn cắn .",10-15g/ngày (dạng thuốc sắc).,"Vị chát, tính mát.",(Không ghi rõ)
163,Dưa chuột,"hoàng qua, hồ qua",Cucumis sativus L.,Cucurbitaceae (Bí),"Lợi tiểu, chữa phù thũng, sốt .",(Không ghi rõ liều thuốc).,"Vị ngọt, tính hàn (quả).",(Không ghi rõ)
164,Chua me đất hoa vàng,(Không có),Oxalis corniculata L.,Oxalidaceae (Chua me đất),"Chữa sốt, lỵ, thông tiểu, viêm họng, mụn nhọt.",30-50g/ngày (tươi).,"Vị chua, tính hàn.",(Không ghi rõ)
165,Cây chua me lá me,(Không có),Biophytum sensitivum (L.) DC.,Oxalidaceae (Chua me đất),"Lợi tiểu, chữa lỵ, rắn cắn.",10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
166,Cỏ bợ,"rau bợ, tứ diệp thảo",Marsilea quadrifolia L.,Marsileaceae (Cỏ bợ),"Chữa sưng mắt, lỵ, lợi tiểu.",15-30g/ngày (dạng thuốc sắc).,"Vị ngọt, đắng, tính hàn.","Tâm, Can, Phế, Thận."
167,Cỏ may,(Không có),Chrysopogon aciculatus (Retz.) Trin.,Poaceae (Lúa),"Lợi tiểu, chữa sốt, vàng da .",10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
168,Đậu đen,"ô đậu, hắc đại đậu",Vigna cylindrica (L.) Skeels,Papilionaceae (Cánh bướm),"Lợi tiểu, chữa thủy thũng, lở loét, mụn nhọt .",20-40g/ngày.,"Vị ngọt, tính bình.",Thận.
169,Hoa hiên,"kim châm, hoàng hoa",Hemerocallis fulva L.,Liliaceae (Hành),"Lợi tiểu, chữa thủy thũng, vàng da, chảy máu cam.",6-12g/ngày.,"Vị ngọt, tính mát.",(Không ghi rõ)
170,Lõi tiền,vẩy rồng,Tadehagi triquetrum (L.) Ohashi,Papilionaceae (Cánh bướm),"Lợi tiểu, chữa sỏi thận, sỏi bàng quang, viêm gan .",15-30g/ngày.,(Không ghi rõ),(Không ghi rõ)
171,Mộc tặc,(Không có),Equisetum hyemale L.,Equisetaceae (Mộc tặc),"Lợi tiểu, chữa viêm gan, đau mắt đỏ.",6-12g/ngày.,"Vị ngọt, hơi đắng, tính bình.","Can, Phế, Đởm."
172,Mộc thông,(Không có),Clematis armandii Franch,Ranunculaceae (Mao Lương),"Lợi tiểu, chữa thủy thũng, thông sữa.",3-6g/ngày.,"Vị đắng, tính hàn.","Tâm, Phế, Tiểu tràng, Bàng quang."
173,Sòi,"cây sồi, ô cửu",Sapium sebiferum (L.) Roxb.,Euphorbiaceae (Thầu dầu),"Lợi tiểu, chữa thủy thũng. Chữa rắn cắn, mụn nhọt .",6-12g/ngày (dạng thuốc sắc).,"Vị đắng, tính hàn, có độc.","Đại tràng, Thận, Phế."
174,Tai chuột,bèo tai chuột,Salvinia cucullata Roxb. ex Bory,Salviniaceae (Bèo tai chuột),"Lợi tiểu. Chữa mụn nhọt, lở loét .",15-30g/ngày.,"Vị ngọt, nhạt, tính hàn.",(Không ghi rõ)
175,Thạch vĩ,"kim tinh thảo, phi đao kiếm",Pyrrosia lingua (Thunb.) Farw.,Polypodiaceae (Dương xỉ),"Lợi tiểu, chữa đái buốt, đái ra máu, sỏi bàng quang, viêm thận .",6-12g/ngày.,"Vị đắng, ngọt, tính hơi hàn.","Phế, Bàng quang."
176,Lưỡi rắn,"bồi ngòi bò, xà thiệt thảo",Oldenlandia corymbosa L.,Rubiaceae (Cà phê),"Chữa sốt, ho, viêm họng, lợi tiểu.",15-30g/ngày (dạng thuốc sắc).,"Vị ngọt, nhạt, tính mát.",(Không ghi rõ)
177,Dây chặc chìu,(Không có),Tetracera scandens (L.) Merr.,Dilleniaceae (Sổ),Lợi tiểu.,10-15g/ngày.,(Không ghi rõ),(Không ghi rõ)
178,Thòng bong,"hải kim sa, bòng bong",Lygodium japonicum (Thunb.) Sw.,Schizaeaceae (Bòng bong),"Lợi tiểu, chữa đái buốt, đái ra sỏi.",6-12g/ngày (dạng thuốc sắc).,"Vị ngọt, tính hàn.","Bàng quang, Tiểu tràng."
179,Mần tưới,"lan thảo, trạch lan",Eupatorium fortunei Turcz.,Asteraceae (Cúc),"Lợi tiểu, chữa thủy thũng, kinh nguyệt không đều.",6-12g/ngày.,"Vị đắng, cay, tính hơi ôn.","Can, Tỳ."
180,Cà dái dê tím,cà tím,Solanum melongena L.,Solanaceae (Cà),Lợi tiểu.,(Không ghi rõ liều thuốc).,"Vị ngọt, tính hàn.",(Không ghi rõ)
181,Cây cam xũng,(Không có),Sphaeranthus africanus L.,Asteraceae (Cúc),Lợi tiểu.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
182,Chanh trường,(Không có),Triphasia trifolia (Burm.f.) P.Wils.,Rutaceae (Cam),Lợi tiểu.,(Không ghi rõ liều thuốc).,(Không ghi rõ),(Không ghi rõ)
183,Coi,(Không có),Streblus asper Lour.,Moraceae (Dâu tằm),"Chữa lỵ, lợi tiểu.",10-20g/ngày (vỏ thân).,(Không ghi rõ),(Không ghi rõ)
184,Côn bố,(Không có),Laminaria japonica Aresch.,Laminariaceae (Côn bố),"Lợi tiểu, chữa thủy thũng, bướu cổ.",6-12g/ngày.,"Vị mặn, tính hàn.","Can, Vị, Thận."
185,Cây cơm cháy,(Không có),Sambucus javanica Reinw. ex Blume,Caprifoliaceae (Cơm cháy),"Lợi tiểu, chữa thủy thũng.",10-15g/ngày (dạng thuốc sắc).,"Vị chua, tính ấm.",(Không ghi rõ)
186,Rau dừa nước,(Không có),Jussiaea repens L.,Onagraceae (Rau dừa nước),"Lợi tiểu, chữa đái buốt.",100-200g tươi/ngày.,"Vị ngọt, nhạt, tính hàn.",(Không ghi rõ)
187,Dứa,(Không có),Ananas comosus (L.) Merr.,Bromeliaceae (Dứa),"Lợi tiểu, chữa sỏi thận, giúp tiêu hóa.",Rễ: 10-15g/ngày.,"Vị chua, ngọt, tính bình.",(Không ghi rõ)
188,Dứa dại,(Không có),Pandanus tectorius Sol. ex Parkinson,Pandanaceae (Dứa dại),"Lợi tiểu, chữa viêm thận, phù thũng, xơ gan cổ trướng.",10-15g rễ hoặc 20-30g đọt non/ngày.,"Vị ngọt, tính mát.",(Không ghi rõ)
189,Cây đa,(Không có),Ficus benghalensis L.,Moraceae (Dâu tằm),"Lợi tiểu, chữa lỵ, tiêu chảy.",10-20g búp hoặc rễ/ngày.,"Vị nhạt, tính mát.",(Không ghi rõ)
190,Đậu chiều,"muồng hòe, vọng giang nam",Cassia occidentalis L.,Caesalpiniaceae (Vang),"Lợi tiểu, nhuận tràng. Chữa ăn uống không tiêu, đau dạ dày.","5-10g hạt/ngày (sao vàng, sắc).",(Không ghi rõ),(Không ghi rõ)
191,Đậu đỏ nhỏ,xích tiểu đậu,Phaseolus angularis (Willd.) W.F.Wight,Papilionaceae (Cánh bướm),"Lợi tiểu, chữa thủy thũng, mụn nhọt, lở loét.",20-40g/ngày.,"Vị ngọt, chua, tính bình.","Tâm, Tiểu tràng."
192,Găng,(Không có),Randia tomentosa (Blume ex DC.) Hook.f.,Rubiaceae (Cà phê),"Lợi tiểu, hạ sốt, chữa lỵ.",10-15g quả/ngày.,(Không ghi rõ),(Không ghi rõ)
193,Cây xương sáo,"sương sáo, thạch đen",Mesona chinensis Benth.,Lamiaceae (Hoa môi),"Thanh nhiệt, giải độc, lợi tiểu.",(Làm thạch ăn).,"Vị ngọt, tính mát.",(Không ghi rõ)
194,Thốt nốt,(Không có),Borassus flabellifer L.,Palmae (Cau),Lợi tiểu.,Uống nước từ cụm hoa tươi.,(Không ghi rõ),(Không ghi rõ)
195,Mía,cam giá,Saccharum officinarum L.,Poaceae (Lúa),"Thanh nhiệt, lợi tiểu.","(Ăn, ép nước uống).","Vị ngọt, tính hàn.","Phế, Vị."
196,Kim tiền thảo,"cây vẩy rồng, mắt trâu",Desmodium styracifolium (Osb.) Merr.,Papilionaceae (Cánh bướm),"Lợi tiểu, chữa sỏi thận, sỏi bàng quang, sỏi mật.",15-30g/ngày (dạng thuốc sắc).,"Vị ngọt, tính mát.","Can, Thận, Bàng quang."
197,Rau om,"ngổ, ngổ om",Limnophila aromatica (Lamk.) Merr.,Scrophulariaceae (Hoa mõm chó),"Lợi tiểu, chữa sỏi thận.",20-30g tươi/ngày (giã vắt nước uống).,"Vị cay, tính mát.",(Không ghi rõ)
198,Móng lưng rồng,(Không có),Helminthostachys zeylanica (L.) Hook.,Ophioglossaceae (Quyết lá thông),Lợi tiểu.,10-20g/ngày.,"Vị ngọt, hơi đắng, tính mát.",(Không ghi rõ)
199,Nàng nàng,(Không có),Callicarpa cana L.,Verbenaceae (Cỏ roi ngựa),Lợi tiểu.,10-20g/ngày.,(Không ghi rõ),(Không ghi rõ)
